Brand,Brewery,PercentAlcohol,Calories,Carbohydrates
Icehouse Light,MillerCoors,4.13,103,5.5
Hamm's Beer,MillerCoors,4.70,144,12.1
Hamm's Golden Draft,MillerCoors,4.70,144,12.1
Hamm's Special Light,MillerCoors,3.90,110,8.3
Keystone Premium,Adolph Coors,4.43,111,5.8
Keystone Light,Adolph Coors,4.13,103,5.0
Keystone Ice,Adolph Coors,5.90,142,5.9
Leinenkugel Honey Weiss,Leinenkugel,4.92,149,12.0
Leinenkugel Northwoods Lager,Leinenkugel,4.94,163,15.3
Leinenkugel Original,Leinenkugel,4.67,152,13.9
Leinenkugel Creamy Dark,Leinenkugel,4.94,170,16.8
Leinenkugel Red ,Leinenkugel,4.94,166,16.2
Leinenkugel Sunset Wheat,Leinenkugel,4.90,165,16.0
Leinenkugel Light,Leinenkugel,4.19,105,5.7
Leinenkugel Amber Light,Leinenkugel,4.14,110,7.4
Magnum Malt Liquor,MillerCoors,5.60,157,11.2
Michael Shea's,High Falls Brewing,4.62,145,13.0
Michelob Amber Boch,Anheuser Busch,5.20,166,15.0
Michelob Beer,Anheuser Busch,5.00,155,13.3
Michelob Golden Draft,Anheuser Busch,4.70,152,14.1
Michelob Golden Draft Light,Anheuser Busch,4.10,110,7.0
Michelob Honey Lager,Anheuser Busch,4.90,175,17.9
Michelob Light,Anheuser Busch,4.30,113,6.7
Michelob Ultra,Anheuser Busch,4.10,95,2.6
Mickey's Fine Malt Liquor ,MillerCoors,5.60,157,11.2
Mickey's Ice ,MillerCoors,5.80,157,11.8
Miller Chill,MillerCoors,4.20,110,6.5
Miller Genuine Draft,MillerCoors,4.70,143,13.1
Miller Genuine Draft Light,MillerCoors,4.20,110,7.0
"Miller Genuine Draft ""64""",MillerCoors,2.80,64,2.4
Miller High Life,MillerCoors,4.70,143,13.1
Miller High Life Light,MillerCoors,4.20,110,7.0
Miller Lite,MillerCoors,4.20,96,3.2
Milwaukee's Best,MillerCoors,4.30,128,11.4
Miller Lite Brewers Collection Amber,MillerCoors,4.20,110,6.2
Miller Lite Brewers Collection Blonde,MillerCoors,4.20,110,6.2
Miller Lite Brewers Collection Wheat,MillerCoors,4.20,110,6.2
Milwaukee's Best Premium,MillerCoors,4.30,128,11.4
Milwaukee's Best Light,MillerCoors,4.20,98,3.5
Milwaukee's Best Ice,MillerCoors,5.90,144,7.3
New Belgium 1554,New Belgium,5.60,205,25.0
New Belgium 2 Below,New Belgium,6.60,200,17.0
New Belgium Abbey,New Belgium,7.00,200,18.0
New Belgium Blue Paddle,New Belgium,4.80,140,14.0
New Belgium Fat Tire,New Belgium,5.20,160,15.0
New Belgium Mothership Wit,New Belgium,4.80,155,15.0
New Belgium Trippel,New Belgium,7.80,215,20.0
New Belgium Sunshine Wheat,New Belgium,4.80,145,13.0
O'Doul's,Anheuser Busch,0.40,70,13.3
Old Milwaukee Light,Old Milwaukee,3.80,114,8.3
Old Milwaukee Beer,Old Milwaukee,4.50,146,12.9
Olde English 800 ,MillerCoors,5.90,160,10.5
Olde English 800 7.5,MillerCoors,7.50,202,13.4
Olde English High Gravity 800 ,MillerCoors,8.00,220,14.6
Olympia Premium Lager,Pabst,4.70,146,11.9
Pabst Blue Ribbon,Pabst,4.65,144,12.0
Pete's Wicked Ale,,5.30,174,17.7
Red Dog,MillerCoors,5.00,147,14.1
Red Hook ESB,Red Hook,5.77,179,14.2
Red Hook IPA,Red Hook,6.50,188,12.7
Rolling Rock Premium Beer ,Latrobe,4.50,120,10.0
Sam Adams Boston Lager ,Boston Beer,4.75,160,18.0
Sam Adams Boston Ale,Boston Beer,4.94,160,19.9
Sam Adams Cherry Wheat,Boston Beer,5.20,166,16.9
Sam Adams Cream Stout,Boston Beer,4.69,195,23.9
Sam Adams Light,Boston Beer,4.05,119,9.6
Schaefer Beer,Pabst,4.60,142,12.0
Schlitz Beer,Pabst,4.70,146,12.1
Sierra Nevada Anniversary Ale,Sierra Nevada,5.90,190,17.3
Sierra Nevada Bigfoot,Sierra Nevada,9.60,330,32.1
Sierra Nevada Celebration Ale,Sierra Nevada,6.80,214,19.4
Sierra Nevada Draft Ale,Sierra Nevada,5.00,157,13.4
Sierra Nevada Early Spring Beer,Sierra Nevada,5.90,190,16.7
Sierra Nevada Harvest Ale,Sierra Nevada,6.70,215,19.3
Sierra Nevada India Pale Ale,Sierra Nevada,6.90,231,20.0
Sierra Nevada Pale Ale,Sierra Nevada,5.60,175,14.1
Sierra Nevada Pale Bock,Sierra Nevada,7.00,218,19.7
Sierra Nevada Porter,Sierra Nevada,5.60,194,18.4
Sierra Nevada Stout,Sierra Nevada,5.80,225,22.3
Sierra Nevada Summerfest Beer,Sierra Nevada,5.00,158,13.7
Sierra Nevada Wheat Beer,Sierra Nevada,4.40,153,13.1
Southpaw Light,MillerCoors,5.00,123,6.6
Steel Reserve,MillerCoors,8.10,222,16.0
Steel Reserve Triple Export,MillerCoors,8.10,222,16.0
Steel Reserve Six,MillerCoors,6.00,160,11.0
Stroh's Beer ,Stroh's,4.60,149,12.0
Stroh's Light,Stroh's,4.40,113,7.0
Summit Summer Ale,Summit Brewing,4.90,147,12.0
Weinhard's Private Reserve,MillerCoors,4.80,150,9.9
Weinhard's Amber Light,MillerCoors,4.20,135,11.5
Weinhard's Hefeweizen,MillerCoors,4.90,151,12.2
Weinhard's Blonde Lager,MillerCoors,5.10,161,14.0
Weinhard's Pale Ale,MillerCoors,4.60,147,13.0
Yuengling Ale,D.G. Yuengilng,5.00,145,10.0
Yuengling Porter,D.G. Yuengilng,4.50,150,14.0
Yuengling Premium Beer,D.G. Yuengling,4.40,135,12.0
Yuengling Light,D.G. Yuengling,3.80,98,6.6
Yuengling Lager,D.G. Yuengling,4.40,135,12.0
